Снижение кол-ва датчиков в процентах: 0
Кол-во автобусов: 36
Кол-во итераций: 100
При пройденном расстоянии: 2000
Найдено: 55
Среднее: 91
Процент успеха: 55
Процент неудач: 45
Цикл 0
0 : 125
1 : Ничего
2 : Ничего
3 : 200
4 : 150
5 : Ничего
6 : 100
7 : Ничего
8 : Ничего
9 : 150
10 : 225
11 : Ничего
12 : Ничего
13 : 175
14 : 225
15 : 200
16 : 200
17 : Ничего
18 : Ничего
19 : Ничего
20 : 175
21 : 75
22 : 225
23 : Ничего
24 : 125
25 : Ничего
26 : 225
27 : Ничего
28 : 150
29 : 125
30 : 100
31 : Ничего
32 : Ничего
33 : Ничего
34 : 125
35 : Ничего
36 : Ничего
37 : Ничего
38 : Ничего
39 : 200
40 : 175
41 : 200
42 : Ничего
43 : 225
44 : 100
45 : Ничего
46 : 200
47 : Ничего
48 : 175
49 : 175
50 : 225
51 : Ничего
52 : 125
53 : Ничего
54 : Ничего
55 : 175
56 : 150
57 : 125
58 : 100
59 : 200
60 : 200
61 : Ничего
62 : Ничего
63 : 150
64 : Ничего
65 : 225
66 : 175
67 : 175
68 : 175
69 : Ничего
70 : Ничего
71 : Ничего
72 : Ничего
73 : Ничего
74 : Ничего
75 : Ничего
76 : 200
77 : 75
78 : 100
79 : 200
80 : Ничего
81 : Ничего
82 : 125
83 : Ничего
84 : Ничего
85 : 200
86 : 225
87 : Ничего
88 : 175
89 : 175
90 : Ничего
91 : Ничего
92 : 150
93 : 100
94 : Ничего
95 : 200
96 : Ничего
97 : 175
98 : 125
99 : 225
