Снижение кол-ва датчиков в процентах: 20
Кол-во автобусов: 24
Кол-во итераций: 100
При пройденном расстоянии: 2000
Найдено: 62
Среднее: 93
Процент успеха: 62
Процент неудач: 38
Цикл 2
0 : 225
1 : 125
2 : Ничего
3 : 125
4 : Ничего
5 : Ничего
6 : 150
7 : Ничего
8 : 125
9 : Ничего
10 : Ничего
11 : 175
12 : Ничего
13 : Ничего
14 : Ничего
15 : 125
16 : 175
17 : 200
18 : 100
19 : 125
20 : 125
21 : 125
22 : 150
23 : Ничего
24 : Ничего
25 : 75
26 : 100
27 : 100
28 : Ничего
29 : 175
30 : 225
31 : 100
32 : 125
33 : 125
34 : Ничего
35 : Ничего
36 : Ничего
37 : Ничего
38 : 125
39 : Ничего
40 : Ничего
41 : Ничего
42 : 150
43 : 225
44 : 125
45 : Ничего
46 : 125
47 : 200
48 : Ничего
49 : Ничего
50 : 100
51 : 200
52 : 125
53 : 200
54 : 100
55 : 100
56 : 175
57 : 125
58 : Ничего
59 : 150
60 : Ничего
61 : 100
62 : 75
63 : 225
64 : Ничего
65 : 100
66 : 225
67 : Ничего
68 : 175
69 : 175
70 : Ничего
71 : Ничего
72 : 225
73 : 225
74 : 100
75 : Ничего
76 : Ничего
77 : Ничего
78 : Ничего
79 : Ничего
80 : 150
81 : 125
82 : 200
83 : 225
84 : 125
85 : 150
86 : Ничего
87 : Ничего
88 : 125
89 : 125
90 : 175
91 : 225
92 : 175
93 : 225
94 : 100
95 : 175
96 : 125
97 : Ничего
98 : Ничего
99 : Ничего
