Снижение кол-ва датчиков в процентах: 40
Кол-во автобусов: 1
Кол-во итераций: 100
При пройденном расстоянии: 2000
Найдено: 0
Среднее: 0
Процент успеха: 0
Процент неудач: 100
Цикл 4
0 : Ничего
1 : Ничего
2 : Ничего
3 : Ничего
4 : Ничего
5 : Ничего
6 : Ничего
7 : Ничего
8 : Ничего
9 : Ничего
10 : Ничего
11 : Ничего
12 : Ничего
13 : Ничего
14 : Ничего
15 : Ничего
16 : Ничего
17 : Ничего
18 : Ничего
19 : Ничего
20 : Ничего
21 : Ничего
22 : Ничего
23 : Ничего
24 : Ничего
25 : Ничего
26 : Ничего
27 : Ничего
28 : Ничего
29 : Ничего
30 : Ничего
31 : Ничего
32 : Ничего
33 : Ничего
34 : Ничего
35 : Ничего
36 : Ничего
37 : Ничего
38 : Ничего
39 : Ничего
40 : Ничего
41 : Ничего
42 : Ничего
43 : Ничего
44 : Ничего
45 : Ничего
46 : Ничего
47 : Ничего
48 : Ничего
49 : Ничего
50 : Ничего
51 : Ничего
52 : Ничего
53 : Ничего
54 : Ничего
55 : Ничего
56 : Ничего
57 : Ничего
58 : Ничего
59 : Ничего
60 : Ничего
61 : Ничего
62 : Ничего
63 : Ничего
64 : Ничего
65 : Ничего
66 : Ничего
67 : Ничего
68 : Ничего
69 : Ничего
70 : Ничего
71 : Ничего
72 : Ничего
73 : Ничего
74 : Ничего
75 : Ничего
76 : Ничего
77 : Ничего
78 : Ничего
79 : Ничего
80 : Ничего
81 : Ничего
82 : Ничего
83 : Ничего
84 : Ничего
85 : Ничего
86 : Ничего
87 : Ничего
88 : Ничего
89 : Ничего
90 : Ничего
91 : Ничего
92 : Ничего
93 : Ничего
94 : Ничего
95 : Ничего
96 : Ничего
97 : Ничего
98 : Ничего
99 : Ничего
