Снижение кол-ва датчиков в процентах: 10
Кол-во автобусов: 82
Кол-во итераций: 100
При T равном: 5000 сек (83 мин)
Найдено: 100
Среднее: 38 мин 38 сек
Процент успеха: 100
Процент неудач: 0
Цикл 1
0 : 2 мин 40 сек
1 : 32 мин 20 сек
2 : 39 мин 20 сек
3 : 39 мин 20 сек
4 : 3 мин 20 сек
5 : 32 мин 0 сек
6 : 32 мин 20 сек
7 : 41 мин 0 сек
8 : 66 мин 0 сек
9 : 76 мин 0 сек
10 : 49 мин 0 сек
11 : 35 мин 40 сек
12 : 28 мин 40 сек
13 : 47 мин 0 сек
14 : 49 мин 0 сек
15 : 30 мин 20 сек
16 : 64 мин 20 сек
17 : 76 мин 0 сек
18 : 81 мин 20 сек
19 : 24 мин 0 сек
20 : 4 мин 40 сек
21 : 60 мин 20 сек
22 : 2 мин 20 сек
23 : 54 мин 40 сек
24 : 13 мин 0 сек
25 : 35 мин 20 сек
26 : 33 мин 0 сек
27 : 68 мин 40 сек
28 : 48 мин 0 сек
29 : 58 мин 20 сек
30 : 13 мин 40 сек
31 : 15 мин 0 сек
32 : 20 мин 0 сек
33 : 62 мин 0 сек
34 : 13 мин 40 сек
35 : 65 мин 0 сек
36 : 9 мин 0 сек
37 : 18 мин 0 сек
38 : 72 мин 0 сек
39 : 17 мин 20 сек
40 : 78 мин 0 сек
41 : 79 мин 0 сек
42 : 60 мин 0 сек
43 : 8 мин 40 сек
44 : 26 мин 20 сек
45 : 11 мин 0 сек
46 : 73 мин 20 сек
47 : 37 мин 20 сек
48 : 50 мин 0 сек
49 : 12 мин 40 сек
50 : 19 мин 40 сек
51 : 12 мин 20 сек
52 : 54 мин 0 сек
53 : 51 мин 40 сек
54 : 8 мин 40 сек
55 : 11 мин 20 сек
56 : 73 мин 40 сек
57 : 47 мин 20 сек
58 : 80 мин 20 сек
59 : 23 мин 20 сек
60 : 35 мин 40 сек
61 : 29 мин 40 сек
62 : 9 мин 40 сек
63 : 20 мин 40 сек
64 : 52 мин 20 сек
65 : 19 мин 20 сек
66 : 29 мин 20 сек
67 : 25 мин 40 сек
68 : 55 мин 20 сек
69 : 27 мин 20 сек
70 : 15 мин 20 сек
71 : 69 мин 20 сек
72 : 29 мин 20 сек
73 : 26 мин 0 сек
74 : 5 мин 20 сек
75 : 47 мин 40 сек
76 : 6 мин 40 сек
77 : 24 мин 20 сек
78 : 51 мин 20 сек
79 : 25 мин 40 сек
80 : 21 мин 20 сек
81 : 58 мин 0 сек
82 : 15 мин 20 сек
83 : 13 мин 20 сек
84 : 38 мин 40 сек
85 : 58 мин 0 сек
86 : 61 мин 40 сек
87 : 45 мин 40 сек
88 : 55 мин 20 сек
89 : 6 мин 0 сек
90 : 61 мин 40 сек
91 : 72 мин 20 сек
92 : 11 мин 20 сек
93 : 36 мин 40 сек
94 : 42 мин 0 сек
95 : 11 мин 0 сек
96 : 81 мин 20 сек
97 : 83 мин 0 сек
98 : 61 мин 0 сек
99 : 72 мин 40 сек
