Снижение кол-ва датчиков в процентах: 0
Кол-во автобусов: 92
Кол-во итераций: 100
При T равном: 5000 сек (83 мин)
Найдено: 100
Среднее: 38 мин 4 сек
Процент успеха: 100
Процент неудач: 0
Цикл 0
0 : 71 мин 40 сек
1 : 2 мин 0 сек
2 : 22 мин 20 сек
3 : 30 мин 0 сек
4 : 46 мин 20 сек
5 : 25 мин 40 сек
6 : 27 мин 20 сек
7 : 15 мин 0 сек
8 : 5 мин 40 сек
9 : 53 мин 40 сек
10 : 49 мин 20 сек
11 : 33 мин 20 сек
12 : 17 мин 0 сек
13 : 8 мин 40 сек
14 : 68 мин 0 сек
15 : 75 мин 0 сек
16 : 46 мин 40 сек
17 : 13 мин 0 сек
18 : 12 мин 40 сек
19 : 65 мин 40 сек
20 : 37 мин 40 сек
21 : 60 мин 0 сек
22 : 55 мин 0 сек
23 : 7 мин 20 сек
24 : 33 мин 0 сек
25 : 83 мин 0 сек
26 : 23 мин 40 сек
27 : 44 мин 0 сек
28 : 21 мин 20 сек
29 : 54 мин 40 сек
30 : 47 мин 0 сек
31 : 46 мин 0 сек
32 : 79 мин 0 сек
33 : 34 мин 0 сек
34 : 72 мин 20 сек
35 : 39 мин 20 сек
36 : 50 мин 0 сек
37 : 57 мин 0 сек
38 : 63 мин 0 сек
39 : 36 мин 40 сек
40 : 23 мин 0 сек
41 : 3 мин 40 сек
42 : 60 мин 0 сек
43 : 44 мин 0 сек
44 : 23 мин 40 сек
45 : 29 мин 40 сек
46 : 63 мин 0 сек
47 : 50 мин 0 сек
48 : 34 мин 0 сек
49 : 26 мин 40 сек
50 : 34 мин 0 сек
51 : 45 мин 40 сек
52 : 27 мин 20 сек
53 : 63 мин 40 сек
54 : 24 мин 40 сек
55 : 23 мин 20 сек
56 : 34 мин 20 сек
57 : 20 мин 20 сек
58 : 16 мин 0 сек
59 : 24 мин 20 сек
60 : 15 мин 20 сек
61 : 3 мин 20 сек
62 : 41 мин 20 сек
63 : 48 мин 40 сек
64 : 61 мин 20 сек
65 : 30 мин 0 сек
66 : 8 мин 40 сек
67 : 30 мин 40 сек
68 : 23 мин 20 сек
69 : 25 мин 0 сек
70 : 52 мин 0 сек
71 : 45 мин 40 сек
72 : 22 мин 20 сек
73 : 63 мин 0 сек
74 : 63 мин 20 сек
75 : 65 мин 20 сек
76 : 52 мин 20 сек
77 : 58 мин 0 сек
78 : 71 мин 20 сек
79 : 18 мин 40 сек
80 : 37 мин 40 сек
81 : 23 мин 0 сек
82 : 33 мин 0 сек
83 : 24 мин 20 сек
84 : 40 мин 0 сек
85 : 79 мин 40 сек
86 : 63 мин 0 сек
87 : 57 мин 0 сек
88 : 46 мин 0 сек
89 : 25 мин 40 сек
90 : 59 мин 40 сек
91 : 20 сек
92 : 10 мин 40 сек
93 : 50 мин 40 сек
94 : 30 мин 0 сек
95 : 25 мин 40 сек
96 : 35 мин 20 сек
97 : 54 мин 0 сек
98 : 3 мин 20 сек
99 : 4 мин 40 сек
